"Theme";"Question";"Reponse_Correcte";"Reponse_Incorrecte_1";"Reponse_Incorrecte_2";"Reponse_Incorrecte_3"
"Covid 19";"Quelle ville chinoise est considérée comme l'épicentre du démarrage du COVID-19 ?";"Wuhan";"Beijing";"Shanghai";"Taiwan"
"Covid 19";"Avec quel film de Steven Soderbergh le COVID-19 présente-t-il des points communs ?";"« Contagion »";"« Bubble »";"« Paranoïa »";"« Traffic »"
"Covid 19";"Quelles émissions furent réduites suite aux effets de l'épidémie de COVID-19 ?";"CO2";"H2O";"NO";"FeO"
"Covid 19";"La baisse du cours de quelle ressource est due à la chute de l'économie suite au COVID-19 ?";"Pétrole";"Charbon";"Zinc";"Nickel"
"Covid 19";"Quel célèbre carnaval international a annulé ses deux derniers jours de festivité en 2020 ?";"Venise";"Binche";"Rio";"Rome"
"Covid 19";"Quel président américain a remercié les efforts menés par la Chine face au COVID-19 ?";"Donald Trump";"Barack Obama";"George W. Bush";"Bill Clinton"
"Covid 19";"Qu'a-t-on contrôlé en 2020 chez les voyageurs qui sortaient des avions venant de Chine ?";"Température";"Sang";"Pupilles";"Mains"
"Covid 19";"Qu'est-il préférable de porter pour minimiser la propagation d'un coronavirus ?";"Masque facial";"Cagoule";"Bonnet";"Écharpe"
"Covid 19";"Au cours de quel mois l'épidémie du COVID-19 aurait-elle débuté ?";"Dec-19";"Jan-20";"Feb-20";"Mar-20"
"Covid 19";"Quelle organisation a déclaré face au COVID-19 l'état d'urgence sanitaire le 30 janvier 2020 ?";"OMS";"UNESCO";"UNICEF";"CESAP"
"Covid 19";"Le 28 février 2020, quel pays d'Europe était le plus touché par le COVID-19 ?";"Italie";"France";"Allemagne";"Suisse"
"Covid 19";"Quelle ministre de la Santé a annoncé le décès d'un premier patient en France ?";"Agnès Buzyn";"Françoise Nyssen";"Muriel Pénicaud";"Sylvie Goulard"
"Covid 19";"Quels bâtiments ont été construits à Wuhan en seulement quinze jours par 7 500 ouvriers ?";"Hôpitaux";"Crêches";"Prisons";"Théâtres"
"Covid 19";"De quelle autre maladie les symptômes de COVID-19 sont-ils assez proches ?";"Grippe";"Hépatite";"Oreillons";"Rougeole"
"Covid 19";"Combien de temps un masque facial bien porté reste-t-il pleinement efficace ?";"Trois heures";"Trois jours";"Trois mois";"Trois ans"
"Covid 19";"En février 2020, quel pays a décidé d'expulser les étrangers contaminés par le COVID-19 ?";"Russie";"Brésil";"Canada";"Inde"
"Covid 19";"Quelle hostilité à ce qui est étranger s'est développée en France, en Italie et au Canada ?";"Xénophobie";"Adultisme";"Genrisme";"Misandrie"
"Covid 19";"Quel célèbre et gigantesque parc de Shanghai a fermé ses portes le 24 janvier 2020 ?";"Disneyland";"Magic Kingdom";"Everland";"Ocean Park"
"Covid 19";"Quel pays a confiné des personnes contaminées dans un bâtiment du National Health Service ?";"Royaume-Uni";"Irlande";"Canada";"Australie"
"Covid 19";"Selon des études scientifiques, quel animal aurait transmis le COVID-19 à l'homme ?";"Chauve-souris";"Lapin";"Grenouille";"Singe"
"Covid 19";"Quelle ville chinoise a décrété le niveau d'alerte sanitaire maximal le 25 janvier 2020 ?";"Hong Kong";"Shanghai";"Chongqing";"Tianjin"
"Covid 19";"Quel navire de croisière fut confiné dans le port de Yokohama durant quatorze jours ?";"Diamond Princess";"Golden Princess";"Island Princess";"Emerald Princess"
"Covid 19";"Quelle commune de Lombardie constituait en février 2020 le principal foyer italien du COVID ?";"Codogno";"Mulazzano";"Maleo";"Bertonico"
"Covid 19";"Quel coronavirus est à l'origine de l'épidémie qui a débuté fin 2019 dans le monde ?";"SARS-CoV-2";"Zika";"Chikungunya";"Dengue"
"Covid 19";"Dans quel pays les trois premiers malades européens du COVID-19 furent-ils annoncés ?";"France";"Espagne";"Italie";"Belgique"
"Covid 19";"Quelle était la période d'incubation maximale fixée en février 2020 à l'égard du COVID-19 ?";"14 jours";"21 jours";"28 jours";"35 jours"
"Covid 19";"En 2020, quelle ville a dû reporter le Salon international des inventions ?";"Genève";"Bruxelles";"Berlin";"Madrid"
"Covid 19";"Quelle est la durée de vie en milieu humide du COVID-19 hors organisme ?";"Trois jours";"Trois heures";"Six jours";"Six heures"
"Covid 19";"Quel pays fut le théâtre d'un foyer épidémique centré sur la secte Shincheonji ?";"Corée du Sud";"Japon";"Chine";"Corée du Nord"
"Covid 19";"Quel médecin a déclaré que le monde n'était pas prêt à faire face au coronavirus ?";"Bruce Aylward";"Robert Wylie";"Michel Fernex";"Hans Klug"
"Corps humain";"Quel os, composé de 6 os soudés, est le plus grand du corps humain ?";"Le bassin";"La hanche";"La rotule";"Le fémur"
"Corps humain";"Combien de neurones un cerveau en pleine possession de ses capacités contient-il ?";"14 milliards";"12 millions";"10 mille";"800"
"Corps humain";"Quel os du corps humain est à peine plus grand qu'un grain de riz ?";"L'étrier";"La mandibule";"L'occipital";"Le radius"
"Corps humain";"Combien d'os même minuscules comptabilise-t-on dans chacune de nos oreilles externes ?";"Aucun";"Trois";"Six";"Neuf"
"Corps humain";"Combien de vertèbres thoraciques ou dorsales s'articulent avec les côtes ?";"12";"6";"18";"24"
"Corps humain";"De combien de muscles différents les abdominaux sont-ils formés ?";"Quatre";"Six";"Huit";"Dix"
"Corps humain";"Quelle partie du corps secrète des substances anti-bactériennes qui détruisent les spores ?";"La peau";"Les cheveux";"Les dents";"Le genou"
