Theme;Question;Reponse_Correcte;Reponse_Incorrecte_1;Reponse_Incorrecte_2;Reponse_Incorrecte_3
nature;La combustion de quel produit contribue le plus au réchauffement climatique ?;Le charbon;Le bois;Le carton;Le PVC
nature;Dans une habitation, quel est le poste le plus gourmand en électricité ?;Production de froid;Sèche-linge;Éclairage;Télévision
nature;En quelle année s'est terminée la première période d'engagement du protocole de Kyoto ?;2012;2008;2016;2004
nature;Qui sont principalement responsables de l'augmentation de l'effet de serre ?;Hommes;Animaux;Bactéries;Planètes
nature;Quel est le type de transport de marchandises le plus économe en énergie ?;Fluvial;Routier;Ferroviaire;Aérien
nature;Le pétrole, le gaz et le charbon sont classés parmi quel type d'énergies ?;Fossiles;Solaires;Propres;Renouvelables
nature;Quel pays est le plus grand émetteur de gaz à effet de serre ?;Chine;États-Unis;Inde;Russie
nature;Lequel de ces effets n'est pas lié aux changements climatiques ?;Espérance de vie;Migration animale;Fonte des glaciers;Montée des eaux
nature;Durant quelle révolution augmentèrent les émissions de gaz à effet de serre ?;Industrielle;Française;Numérique;Culturelle
nature;Que signifie la lettre A sur l'étiquette-énergie d'un réfrigérateur ?;Non énergivore;Anti-poussière;Le plus froid;Auto-nettoyant
nature;Hormis le CO2, lequel de ces autres gaz est couvert par le protocole de Kyoto ?;Méthane;Butane;Propane;Acétylène
nature;Pour quelle part le CO2 contribue-t-il à l'effet de serre causé par les activités humaines ?;60%;20 %;40 %;80 %
nature;En France, quelle est la moyenne de CO2 émis en 2007 par habitant et par an ?;5.8 T;4.2 T;3.7 T;2.3 T
nature;Par combien les pays doivent-ils diviser leurs émissions de gaz à effet de serre d'ici 2050 ?;Par 4;Par 2;Par 6;Par 8
nature;Combien de CO2 est émis par chaque passager d'un vol aller-retour Paris-New York ?;1.2 T;39 Kg;257 Kg;593 Kg
nature;Outre le biodiesel, quelle est l'autre principale filière des biocarburants en France ?;Bioéthanol;Super bio;Bio gazole;Bio kérosène
nature;Paris a accueilli la COP21, COP étant l'acronyme de Conference Of the...;Parties;Populations;Power;Problems
nature;L'objectif de la COP 21 fut de limiter le réchauffement climatique à quoi ?;2°C;2%;2 Gigawatts;2 ans
nature;Quelle température y aurait-il sur Terre sans l'effet de serre ?;-18°C;4°C;47°C;98°C
nature;En France, on utilise sa voiture en moyenne pour quel pourcentage de ses déplacements ?;80 %;60 %;40 %;20 %
nature;Quelle est la température moyenne à la surface de la Terre ?;15° C;25° C;35° C;5° C
nature;Comment appelle-t-on un système qui absorbe naturellement les émissions de CO2 ?;Puits de carbone;Biosphère;Écogénome;Défoliant
nature;Quelle est la durée de vie moyenne du protoxyde d'azote (N2O) dans l'atmosphère ?;114 ans;83 ans;67 ans;39 ans
